ID,Question Body,Choice 1,Choice 2,Choice 3,Choice 4,Key,Education Period,Grade Title,Level,Is Trap,Trap,Course Title,P0,P1,P2,P3,P4,Year,final_category_fa,Answer
6422,کدام یک از موارد زیرآب رودخانه‌ها را آلوده می‌کند؟(بهترین گزینه را انتخاب کنید.),ریختن زباله‌ و موادّ آلاینده در آب رودخانه,استفاده بیش از حد از آب رودخانه,استفاده از آب رودخانه برای حمل و نقل,آبیاری گیاهان بوسیله آب رودخانه,1.0,دبستان 1,دوم دبستان,ساده,False,,علوم تجربی دوم دبستان,3.0,94.0,1.0,0.0,0.0,1400,علوم تجربی دوره اول ابتدایی,انسان‌ها با ریختن زباله و موادّ آلاینده در آب، آن را آلوده می‌کنند، در‌ حالی‌که سایر موارد نمونه‌هایی از موارد استفاده‌ی آب است نه دلیل آلودگی آن.
10747,یکی از مهم ترین انتقادات مردم شناسان در رابطه با جامعه شناسی چه بود و نمودار مناسب با نگرش مردم‌شناسان درباره فرهنگ‌های مختلف کدام است؟,انتقاد به تصور سادۀ جامعه شناسی غربی از سایر فرهنگ ها _ طولی,انتقاد به مطالعۀ جوامع ساده و ابتدایی توسط جامعه شناسان _ عرضی,انتقاد به تقسیم کار صورت گرفته میان مردم شناسی و جامعه شناسی _ طولی,انتقاد به خودمداری فرهنگ غرب و تصور سادۀ آن از سایر فرهنگ ها _ عرضی,4.0,متوسطه 2,دهم انسانى,دشوار,False,,جامعه شناسی 1 دهم انسانی,74.0,3.0,3.0,2.0,18.0,1398,جامعه شناسی دوره دوم متوسطه,"-وقتی مردم شناسان بنا به وظیفۀ حرفه ای خود، با فرهنگ های غیرغربی مواجه شدند، به پیچیدگی و عمق آن ها و اشتباه جامعه شناسان غربی پی‌بردند. از این رو، یکی از مهم ترین انتقادها به خودمداری فرهنگ غرب و تصور سادۀ آن از سایر فرهنگ ها را مردم شناسان مطرح کردند. 
 - نمودار مناسب با نگرش مردم‌شناسان درباره فرهنگ‌های مختلف، نمودار عرضی است."
6231,همه موارد زیر درست هستند، به‌جز …,در دمای اتاق $pH$ نیم‌واکنش اکسایش برقکافت آب برخلاف $pH$ نیم‌واکنش کاهش خوردگی آهن کوچکتر از $7$ است.,عدد اکسایش کربن مشخص شده برابر عدد اکسایش فلز موجود در فرآورده نهایی خوردگی آهن است.,در برقکافت آب، دو الکترود بی‌اثر توسط دیواره متخلخل از یکدیگر جدا شده‌اند.,در فرآیند تهیه فلز منیزیم از آب دریا، گاز کلر نیز تهیه می‌شود.,3.0,متوسطه 2,دوازدهم تجربي,متوسط,False,,شیمی 3,70.0,2.0,3.0,24.0,1.0,1398,شیمی دوره دوم متوسطه,"بررسی همه گزینه‌ها: 
 گزینه «1»: 
 $2H_2O\rightarrow O_2+\underset{محیط\;اسیدی}{\underbrace{4H^+}_{\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,}}+4e^-$:نیم‌واکنش اکسایش برقکافت آب 
 $4e^-+2H_2O+O_2\rightarrow\underset{محیط\;بازی}{\underbrace{4OH^-}_{\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,}}$: نیم‌واکنش کاهش خوردگی آهن 
 گزینه «2»: عدد اکسایش کربن مشخص شده برابر $+3$ است. فرآورده نهایی خوردگی آهن $Fe\,{{(OH)}_{3}}$ بوده که در این‌جا نیز عدد اکسایش آهن برابر با $+3$ است. 
 گزینه «3»: در برقکافت آب، دیواره متخلخل وجود ندارد. 
 گزینه «4»: در فرآیند برقکافت $MgC{{l}_{2}}$ مذاب، فلز منیزیم مذاب و گاز کلر تهیه می‌شود."
6352,به موادی که شکل معینی ندارند و در هر ظرفی که آن‌ها را بریزیم به شکل همان ظرف در می‌آیند . . . گویند. این مواد را اگر خیلی سرد کنیم ممکن است به حالت . . . در آیند.,مایع- جامد,مایع- مایع,جامد- مایع,جامد- جامد,1.0,دبستان 1,دوم دبستان,نسبتا ساده,False,,علوم تجربی دوم دبستان,4.0,74.0,10.0,9.0,4.0,1394,علوم تجربی دوره اول ابتدایی,مایعات شکل معینی ندارند و در هر ظرفی آن‌ها را بریزیم به شکل همان ظرف در می‌آیند و اگر آن‌ها را خیلی سرد کنیم ممکن است به حالت جامد درآیند.
16233,کدام بیت آرایه مجاز به علاقه شباهت دارد؟,در این بازار اگر سودی است با درویش خرسند است / خدایا منعمم گردان به درویشی و خرسندی,دیگران قرعه قسمت همه بر عیش زدند / دل غمدیده ما بود که هم بر غم زد,شاها فلک از بزم تو در رقص و سماع است /  دست طرب از دامن این زمزمه مگسل,من که باشم که بر آن خاطر عاطر گذرم /  لطف‌ها می‌کنی ای خاک درت تاج سرم,1.0,متوسطه 2,یازدهم انسانى,دشوار,False,,علوم و فنون ادبی 2 يازدهم,83.0,6.0,2.0,5.0,3.0,1396,زبان و ادبیات فارسی دوره دوم متوسطه,«بازار» مجاز از «دنیا» است. (مجاز به علاقه شباهت)
19338,به ازای کدام مقدار m رأس سهمی $y=(2m-1){{x}^{2}}+3x-1$ بر محور ‌xها قرار دارد؟,$\frac{3}{8}$,$\frac{1}{2}$,$-\frac{5}{8}$,$\frac{5}{8}$,3.0,متوسطه 2,دهم انسانى,دشوار,False,,ریاضی و آمار 1 دهم انسانی,95.0,0.0,2.0,2.0,1.0,1395,ریاضی و آمار دوره دوم متوسطه,"شرط آن‌که رأس سهمی بر محور xها قرار داشته باشد $\Delta =0$ است. 
 $\begin{align} 
  & \Delta =0\Rightarrow {{b}^{2}}-4ac=0\Rightarrow {{3}^{2}}-4(2m-1)(-1)=0 \\ 
 & \Rightarrow 9+8m-4=0\Rightarrow 8m=-5\Rightarrow m=\frac{-5}{8} \\ 
\end{align}$"
19930,همه‌ی موارد زیر نادرست‌اند به‌جز :,در اتم هیدروژن بازگشت الکترون از لایه‌ی پنجم به حالت پایه، نوری با طول‌موج 434 نانومتر ساطع می‌کند.,انرژی الکترون با فاصله از هسته اتم رابطه‌ی عکس دارد.,شیوه نردبانی دریافت یا از دست دادن انرژی را شیوه کوانتومی می‌نامند.,نیلز بور به دنبال توجیه و یافتن علت ایجاد طیف نشری خطی در اتم هیدروژن، ساختاری لایه‌ای برای اتم پیشنهاد کرد.,3.0,متوسطه 2,دهم تجربي,متوسط,False,,شیمی 1 دهم,46.0,9.0,13.0,23.0,10.0,1396,شیمی دوره دوم متوسطه,"بررسی موارد نادرست: 
 گزینه‌ی «1»: در اتم هیدروژن انتقال الکترون از لایه‌ی پنجم به لایه‌ی دوم، نوری با طول‌موج$434$ نانومتر ساطع می‌کند. 
 گزینه‌ی«2»: انرژی الکترون با فاصله‌ی آن از هسته رابطه‌ی مستقیم دارد. 
 گزینه‌ی «4»: مدل لایه‌ای متعلق به نیلز بور نیست."
2388,ریشه‌های معادله $\log\;x=\sqrt{\log\;x^7-12}$ چقدر اختلاف دارند؟,11000,9000,100000,12000,2.0,متوسطه 2,یازدهم تجربي,دشوار,False,,ریاضی 2 يازدهم تجربي,90.0,1.0,7.0,1.0,1.0,1397,ریاضی دوره دوم متوسطه,"$\begin{array}{l}\log\;x=\sqrt{\log\;x^7-12}\Rightarrow\left(\log\;x\right)^2=\log\;x^7-12\\\Rightarrow\left(\log\;x\right)^2=7\log\;x-12\Rightarrow\left(\log\;x\right)^2-7\left(\log\;x\right)+12=0\\\Rightarrow\left(\log\;x-3\right)\left(\log\;x-4\right)=0\Rightarrow\log\;x=3\;\begin{array}{c}یا\end{array}\log\;x=4\\x_1=10^3\;\;\;\;,\;\;\;x_2=10^4\Rightarrow x_2-x_1=10^4-10^3=10000-1000=9000\end{array}$"
3100,تولّد من روز یکشنبه است و تولّد برادرم 45 روز بعد است. روز تولّد برادرم چند شنبه است؟,یک‌شنبه,سه‌شنبه,چهارشنبه,پنج شنبه,3.0,دبستان 1,سوم دبستان,دشوار,False,,ریاضی سوم دبستان,25.0,12.0,18.0,28.0,17.0,1393,ریاضی دوره اول ابتدایی,"روز تولد من یکشنبه است. هر هفته، هفت روز است. داریم: 
 $\;\begin{array}{c}روز\;تولد\;من\;\left(یکشنبه\right)\end{array}\;0\xrightarrow[{+7}]{}7\xrightarrow[{+7}]{}14\xrightarrow[{+7}]{}21\xrightarrow[{+7}]{}28\xrightarrow[{+7}]{}35\xrightarrow[{+7}]{}42$ 
 با توجّه به الگو، 42 روز بعد از تولّد من، باز هم یکشنبه است. پس: 
 روز 45 (چهارشنبه)   $\rightarrow$ روز 44 (سه‌شنبه)    $\rightarrow$    روز 43 (دوشنبه)"
1504,داده‌های آماری در 8 طبقه دسته‌بندی شده‌اند. اگر داده‌ها را در 9 طبقه دسته‌بندی کنیم، طول طبقه‌ها$\frac{2}{3}$کم می‌شود. در دسته‌بندی اولیه‌ی داده‌ها، اختلاف بین کران بالای طبقه‌ی دوم و کران پایین طبقه‌ی پنجم چه‌قدر است؟,12,18,8,24,1.0,متوسطه 2,یازدهم رياضي,دشوار,False,,آمار و احتمال يازدهم ریاضی,90.0,8.0,1.0,1.0,1.0,1395,آمار و احتمال دوره دوم متوسطه,"با تغییر تعداد دسته‌ها دامنه‌ی تغییرات تغییری نمی‌کند، اگرC  طول دسته باشد، می‌دانیم:$R=nC$ 
 $\left\{ \begin{matrix}   R=8C\,\,\,\,\,\,\,\,\,\,\,\,  \\   R=9(C-\frac{2}{3})  \\\end{matrix} \right.\,\,\,\Rightarrow 8C=9(C-\frac{2}{3})\Rightarrow C=6$ 
 کران بالای طبقه دوم برابر کران پایین طبقه‌ی سوم است و اختلاف کران‌های پایین طبقات پنجم و سوم برابر $2C$یعنی$2\times 6=12$است."
